species,Latitude,Longitude
Salix cinerea,50.547892,30.257927
Salix fragilis,51.209927,29.750964
Salix alba,49.38642,30.283518
Salix cinerea,49.462027,30.45483
Salix caprea,49.462027,30.45483
Salix cinerea,49.38891,30.374299
Salix pentandra,49.38891,30.374299
Salix fragilis,49.38891,30.374299
Salix triandra,49.388601,30.37039
Salix triandra,49.407544,30.509954
Salix acutifolia,49.407544,30.509954
Salix caprea,49.408053,30.510024
Salix viminalis,49.388635,30.376667
Salix fragilis,49.396759,30.372935
Salix triandra,49.396759,30.372935
Salix alba,49.396759,30.372935
Salix cinerea,49.396759,30.372935
Salix cinerea,49.401835,30.367593
Salix triandra,49.385995,30.383762
Salix cinerea,49.385995,30.383762
Salix caprea,49.385995,30.383762
Salix cinerea,50.500929,30.159301
Salix caprea,50.474523,30.11921
Salix purpurea,50.614896,30.475192
Salix alba,50.288762,30.51602
Salix alba,50.537098,30.241291
Salix cinerea,49.461941,30.454948
Salix caprea,49.462006,30.454865
Salix cinerea,50.636793,30.768515
Salix cinerea,50.297531,30.316679
Salix triandra,49.407857,30.510088
Salix triandra,49.388569,30.370438
Salix cinerea,50.679331,29.597973
Salix caprea,50.679605,29.600911
Salix cinerea,50.687134,29.580532
Salix caprea,50.401128,30.414292
Salix alba,50.406355,30.410619
Salix purpurea,50.73711,30.29967
Salix purpurea,50.351784,30.486277
Salix triandra,50.572598,30.224433
Salix caprea,50.568829,30.230022
Salix hastata,50.381064,30.40967
Salix alba,50.573547,30.228665
Salix viminalis,50.405219,30.374936
Salix alba,50.305669,30.274548
Salix alba,50.288982,30.516252
Salix cinerea,50.284384,30.511741
Salix triandra,50.182019,30.157458
Salix cinerea,50.290424,30.518547
Salix cinerea,50.314315,30.274452
Salix cinerea,50.104856,29.943441
Salix cinerea,50.183791,30.155489
Salix cinerea,50.335952,30.429206
Salix cinerea,50.536868,30.241636
Salix alba,50.537098,30.241291
Salix cinerea,50.336488,30.427366
Salix fragilis,50.334818,30.427144
Salix caprea,50.35867,30.18078
Salix cinerea,50.37528,30.18574
Salix fragilis,50.35508,30.17476
Salix alba,50.503623,30.121162
Salix alba,50.494582,30.099883
Salix alba,49.365837,29.694231
Salix acutifolia,50.494652,30.100056
Salix alba,50.474572,30.119141
Salix caprea,50.534774,30.156702
Salix fragilis,50.49459,30.099876
Salix caprea,50.502531,30.123189
Salix cinerea,50.494569,30.100024
Salix aurita,50.494584,30.099882
Salix cinerea,50.474652,30.11907
Salix cinerea,50.570831,29.937726
Salix alba,50.242122,30.572017
Salix alba,49.718048,31.168584
Salix fragilis,49.36544,30.791112
Salix caprea,50.566141,30.226118
Salix alba,50.573468,30.232385
Salix fragilis,50.072003,29.894793
Salix caprea,50.568829,30.230022
Salix alba,50.573517,30.2287
Salix alba,50.568437,30.222159
Salix caprea,50.561062,30.207913
Salix alba,50.544523,30.215553
Salix pentandra,50.568581,30.216899
Salix cinerea,50.573125,30.224325
Salix alba,50.92837,29.906996
Salix alba,50.568915,30.216516
Salix acutifolia,50.928558,29.907014
Salix strepida,51.225391,29.760234
Salix rosmarinifolia,50.030847,31.230809
Salix acutifolia,51.205455,29.724013
Salix triandra,50.572431,30.22457
Salix caprea,50.564518,30.218665
Salix multinervis,51.245943,29.796021
Salix cinerea,50.330789,30.423362
Salix cinerea,51.195077,29.73306
Salix cinerea,50.303188,30.23381
Salix aurita,51.224772,29.760204
Salix caprea,50.303419,30.322367
Salix caprea,50.350794,30.443144
Salix alba,50.540794,30.241377
Salix caprea,49.964507,31.313029
Salix cinerea,50.078551,31.303384
Salix caprea,50.391804,31.445445
Salix alba,50.082411,31.309633
Salix acutifolia,50.079374,31.314743
Salix alba,50.079951,31.32538
Salix cinerea,50.292039,30.553461
Salix caprea,50.355022,30.470262
Salix caprea,50.35393,30.470929
Salix caprea,50.355207,30.470422
Salix caprea,50.353957,30.470683
Salix caprea,50.04501,31.228469
Salix aurita,50.030948,31.230723
Salix cinerea,50.452816,31.143982
Salix aurita,50.481542,29.991888
Salix cinerea,50.042577,31.22988
Salix pentandra,50.042577,31.22988
Salix caprea,50.503182,29.920801
Salix alba,50.043353,31.231957
Salix cinerea,50.508623,29.912758
Salix alba,50.382937,31.071694
Salix cinerea,50.491806,29.964983
Salix caprea,50.048478,31.243997
Salix acutifolia,50.071055,31.273952
Salix caprea,50.09197,31.295871
Salix acutifolia,51.512185,30.018543
Salix caprea,50.589139,30.996533
Salix cinerea,50.572203,29.93449
Salix cinerea,50.572234,29.934887
Salix alba,50.483333,30.083333
Salix alba,49.971167,31.133342
Salix aurita,50.00476,30.97747
Salix triandra,49.971167,31.133342
Salix pentandra,49.971167,31.133342
Salix caprea,50.483333,30.083333
Salix myrtilloides,50.483333,30.083333
Salix acutifolia,50.483333,30.083333
Salix rosmarinifolia,50.483333,30.083333
Salix rosmarinifolia,50.483333,30.083333
Salix rosmarinifolia,50.483333,30.083333
Salix fragilis,50.483333,30.083333
Salix pentandra,50.483333,30.083333
Salix rosmarinifolia,50.483333,30.083333
Salix triandra,50.483333,30.083333
Salix caprea,50.78124,30.67061
Salix acutifolia,50.71483,30.70204
Salix caprea,50.412621,30.120125
Salix babylonica,50.573087,29.998383
Salix acutifolia,50.564044,30.263403
Salix alba,50.690077,30.805285
Salix caprea,50.342867,30.301063
Salix fragilis,50.276726,31.771926
Salix cinerea,50.650384,30.412399
Salix fragilis,49.973878,31.056261
Salix acutifolia,50.324735,30.617331
Salix alba,50.076015,30.917941
Salix caprea,50.074527,30.898574
Salix caprea,50.078215,30.915044
Salix cinerea,50.588318,30.994671
Salix purpurea,49.961442,31.311922
Salix cinerea,50.177555,30.339957
Salix purpurea,49.913686,31.3382
Salix cinerea,50.714008,30.791082
Salix acutifolia,49.966833,31.314747
Salix acutifolia,50.327496,30.617374
Salix triandra,49.886496,29.959061
Salix cinerea,49.879915,29.947143
Salix fragilis,50.377238,31.088255
Salix caprea,49.960318,31.042105
Salix cinerea,50.644749,29.806108
Salix cinerea,50.572763,29.998896
Salix aurita,50.574134,29.996843
Salix aurita,50.572288,29.998016
Salix cinerea,50.556741,30.068253
Salix cinerea,50.58454,30.00603
Salix babylonica,50.551202,30.150291
Salix caprea,50.299722,30.289167
Salix cinerea,50.285362,30.260223
Salix caprea,50.550342,30.147969
Salix cinerea,49.772258,30.618186
Salix acutifolia,50.714002,30.677471
Salix triandra,50.250622,31.766202
Salix alba,50.249773,31.767377
Salix cinerea,50.588946,30.154939
Salix babylonica,49.965127,31.095011
Salix acutifolia,51.290845,30.265119
Salix cinerea,50.571773,29.935582
Salix pentandra,50.552179,30.511796
Salix fragilis,50.303366,29.802676
Salix fragilis,50.304284,29.80318
Salix caprea,50.725003,30.895478
Salix caprea,50.696669,30.891479
Salix caprea,50.704686,30.918398
Salix caprea,50.426359,29.785242
Salix caprea,50.426403,29.784904
Salix caprea,50.426608,29.784872
Salix alba,50.429362,29.789105
Salix cinerea,50.429362,29.789105
Salix caprea,50.429362,29.789105
Salix fragilis,50.429362,29.789105
Salix pentandra,50.429362,29.789105
Salix cinerea,50.437505,29.796647
Salix fragilis,50.437505,29.796647
Salix pentandra,50.437505,29.796647
Salix alba,50.533435,30.193539
Salix cinerea,50.309042,31.743305
Salix cinerea,50.682102,30.230311
Salix cinerea,51.092687,30.348352
Salix cinerea,51.09704,30.359006
Salix cinerea,50.312643,31.430421
Salix pentandra,50.882007,30.314887
Salix acutifolia,51.203574,30.390289
Salix cinerea,50.882007,30.314887
Salix cinerea,50.334295,31.49122
Salix cinerea,50.871921,30.336397
Salix rosmarinifolia,51.281519,30.308732
Salix triandra,50.284661,30.725184
Salix triandra,50.528605,30.213594
Salix cinerea,49.748711,30.29067
Salix acutifolia,49.528242,31.00316
Salix cinerea,49.748489,30.288267
Salix acutifolia,51.201934,30.387585
Salix triandra,50.530999,30.209952
Salix rosmarinifolia,51.282197,30.31076
Salix cinerea,51.072387,30.309235
Salix triandra,51.214184,30.490722
Salix cinerea,50.891855,30.340507
Salix cinerea,50.317582,31.500179
Salix triandra,50.280638,30.712063
Salix cinerea,50.86447,30.612237
Salix rosmarinifolia,51.072387,30.309235
Salix cinerea,50.976475,30.441125
Salix cinerea,50.809429,30.607482
Salix cinerea,49.748433,30.291314
Salix cinerea,49.743899,30.285477
Salix starkeana,50.598488,30.991093
Salix fragilis,50.327907,30.486223
Salix caprea,50.534912,30.069975
Salix fragilis,50.554603,30.084232
Salix pentandra,50.583444,30.678337
Salix acutifolia,50.54004,30.52125
Salix cinerea,50.554234,30.084315
Salix fragilis,50.533725,30.224773
Salix rosmarinifolia,50.731663,29.731837
Salix acutifolia,50.778856,30.703103
Salix caprea,50.346919,30.360244
Salix cinerea,50.346593,30.360326
Salix cinerea,50.586651,29.998596
Salix fragilis,50.071542,30.897448
Salix triandra,50.073494,30.902619
Salix pentandra,50.621937,30.157743
Salix cinerea,50.672437,29.714303
Salix rosmarinifolia,50.553814,29.941063
Salix alba,50.54292,30.257006
Salix cinerea,50.547517,30.256462
Salix acutifolia,50.541199,30.53214
Salix alba,50.571194,30.185685
Salix alba,50.51166,30.259457
Salix caprea,50.570965,30.187369
Salix fragilis,50.565528,30.189167
Salix cinerea,50.569718,30.238512
Salix cinerea,50.54892,30.238111
Salix alba,50.543155,30.23867
Salix caprea,50.351777,30.481702
Salix cinerea,50.377133,31.094348
Salix caprea,50.390261,31.088287
Salix rosmarinifolia,50.672233,31.082935
Salix acutifolia,50.031392,31.417596
Salix cinerea,50.188263,31.607425
Salix alba,50.186878,31.602736
Salix rosmarinifolia,50.490396,30.257281
Salix pentandra,50.184229,30.098566
Salix repens,50.9,30.35
